adult,backdrop_path,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,production_companies_name,production_companies_country
False,/6JDjZdFckZyMYgtawDwUb6HTwVp.jpg,0,['Drama'],http://www.fruehling-sommer.de,113,tt0374546,ko,봄 여름 가을 겨울 그리고 봄,"An isolated lake, where an old monk lives in a small floating temple. The monk has a young boy living with him, learning to become a monk. We watch as seasons and years pass by.",11.93,/6SQQ5REuAz7k0FMQ9mSCT40T2LN.jpg,"['KR', 'DE']",2003-09-19,8945072,103,['ko'],Released,"What you like, others will also like.","Spring, Summer, Fall, Winter... and Spring",False,7.847,916,"['LJ Film', 'Korea Pictures', 'Cineclick Asia', 'Cinesoul', 'Mirae Asset Capital', 'Muhan Investment', 'Pandora Film']","['KR', 'KR', 'KR', '', '', '', 'DE']"
False,/3tuWpnCTe14zZZPt6sI1W9ByOXx.jpg,14000000,"['Comedy', 'Romance']",,114,tt0100405,en,Pretty Woman,"When a millionaire wheeler-dealer enters a business contract with a Hollywood hooker Vivian Ward, he loses his heart in the bargain.",34.802,/hVHUfT801LQATGd26VPzhorIYza.jpg,['US'],1990-03-23,463406268,119,['en'],Released,"She walked off the street, into his life and stole his heart.",Pretty Woman,False,7.427,7025,"['Touchstone Pictures', 'Silver Screen Partners IV']","['US', 'US']"
False,/nevS6wjzCxZESvmjJZqdyZ3RNQ6.jpg,15000000,"['Comedy', 'Crime']",,115,tt0118715,en,The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",23.505,/juxXYe0VhoNS841sbc4zvz7FHef.jpg,"['GB', 'US']",1998-03-06,46969409,117,"['en', 'he', 'es', 'de']",Released,Times like these call for a Big Lebowski.,The Big Lebowski,False,7.845,10073,"['Gramercy Pictures', 'PolyGram Filmed Entertainment', 'Working Title Films']","['US', 'US', 'GB']"
False,/1HEdbjJ20vXn8nW1LwPMc5lY63U.jpg,15000000,"['Drama', 'Thriller', 'Crime', 'Romance']",,116,tt0416320,en,Match Point,"Chris, a former tennis player, looks for work as an instructor. He meets Tom Hewett, a wealthy young man whose sister Chloe fall in love with Chris. But Chris has his eye on Tom's fiancee Nola.",14.078,/vHjEVTD8ucuwKSFOZJeyAnTZYli.jpg,"['FR', 'IE', 'LU', 'GB', 'US']",2005-10-26,85306374,124,['en'],Released,Passion Temptation Obsession.,Match Point,False,7.352,3671,"['DreamWorks Pictures', 'BBC Film']","['US', 'GB']"
False,/k0oT1Vj9dlkwk5Vuuz7pvnG8iJ6.jpg,25000000,"['Crime', 'Drama', 'History', 'Thriller']",,117,tt0094226,en,The Untouchables,"Young Treasury Agent Eliot Ness arrives in Chicago and is determined to take down Al Capone, but it's not going to be easy because Capone has the police in his pocket. Ness meets Jim Malone, a veteran patrolman and probably the most honorable one on the force. He asks Malone to help him get Capone, but Malone warns him that if he goes after Capone, he is going to war.",19.949,/8BquGK22zCcsmBWiaIakaaPpSZb.jpg,['US'],1987-06-03,76270454,119,['en'],Released,What are you prepared to do?,The Untouchables,False,7.768,5017,['Paramount'],['US']
False,/bSvUW4JQ6g4QiKvwejcfcPRd4Ke.jpg,150000000,"['Adventure', 'Comedy', 'Family', 'Fantasy']",https://www.warnerbros.com/charlie-and-chocolate-factory,118,tt0367594,en,Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",58.708,/wfGfxtBkhBzQfOZw4S8IQZgrH0a.jpg,"['GB', 'US']",2005-07-13,474968763,115,['en'],Released,Prepare for a taste of adventure.,Charlie and the Chocolate Factory,False,7.038,13582,"['The Zanuck Company', 'Theobald Film Productions', 'Plan B Entertainment']","['US', 'GB', 'US']"
False,/dUVbWINfRMGojGZRcO6GF1Z2nV8.jpg,93000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,120,tt0120737,en,The Lord of the Rings: The Fellowship of the Ring,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",74.296,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,"['NZ', 'US']",2001-12-18,871368364,179,['en'],Released,One ring to rule them all,The Lord of the Rings: The Fellowship of the Ring,False,8.396,22631,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['US', 'NZ', 'US']"
False,/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg,79000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net/,121,tt0167261,en,The Lord of the Rings: The Two Towers,"Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",62.983,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,"['NZ', 'US']",2002-12-18,926287400,179,['en'],Released,A New Power Is Rising.,The Lord of the Rings: The Two Towers,False,8.378,19675,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['US', 'NZ', 'US']"
False,/pm0RiwNpSja8gR0BTWpxo5a9Bbl.jpg,94000000,"['Adventure', 'Fantasy', 'Action']",http://www.lordoftherings.net,122,tt0167260,en,The Lord of the Rings: The Return of the King,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",65.571,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,"['NZ', 'US']",2003-12-01,1118888979,201,['en'],Released,The eye of the enemy is moving.,The Lord of the Rings: The Return of the King,False,8.473,21543,"['New Line Cinema', 'WingNut Films', 'The Saul Zaentz Company']","['US', 'NZ', 'US']"
False,/x9McE1WFKnAHludiY7xfd7modDC.jpg,4000000,"['Adventure', 'Animation', 'Fantasy']",,123,tt0077869,en,The Lord of the Rings,The Fellowship of the Ring embark on a journey to destroy the One Ring and end Sauron's reign over Middle-earth.,22.726,/liW0mjvTyLs7UCumaHhx3PpU4VT.jpg,"['ES', 'GB', 'US']",1978-11-15,30471420,132,['en'],Released,Fantasy...beyond your imagination,The Lord of the Rings,False,6.55,725,"['Fantasy Films', 'Bakshi Productions', 'Saul Zaentz Film Productions']","['', '', '']"
False,/xjcQI6O8xZCFtLVjp2IckYgDqV6.jpg,0,['Drama'],,124,tt0086961,pl,Bez końca,"1982, Poland. A translator loses her husband and becomes a victim of her own sorrow. She looks to sex, to her son, to law, and to hypnotism when she has nothing else in this time of martial law when Solidarity was banned.",6.817,/3pdF1guvIxNgmhDkmXJHCCk0PkC.jpg,['PL'],1985-06-17,0,108,"['en', 'pl']",Released,,No End,False,7.3,68,"['Film Polski', 'Studio Filmowe Tor']","['PL', 'PL']"
False,,0,['Documentary'],,125,tt0080668,pl,Dworzec,"Kieslowski’s later film Dworzec (Station, 1980) portrays the atmosphere at Central Station in Warsaw after the rush hour.",1.406,/c4xG9QoCx2zXc8iP3jQVLYDHiMi.jpg,['PL'],1980-01-01,0,13,['pl'],Released,,Railway Station,False,5.9,18,['WFD'],['']
False,/59PVw1vVgLZVVJZfV6k1SfOvcYZ.jpg,0,"['Drama', 'TV Movie']",,126,tt0082631,pl,Krótki dzień pracy,"A dramatisation of the workers' protests in June 1976 in Radom, seen from the perspective of the local Secretary of the Polish United Workers' Party. [Produced in 1981, but not commercially released until 1996.]",0.796,/rJwiDSoKI3ryiLTZZ6BPUl2CrwG.jpg,['PL'],1981-01-01,0,73,['pl'],Released,,Short Working Day,False,7.167,6,"['Zespól Filmowy ""Tor""', 'TVP']","['', 'PL']"
False,/eTSRN1Bwce60rpAORwkKbPRDT6V.jpg,0,['Drama'],,127,tt0084549,pl,Przypadek,Witek runs after a train. Three variations follow on how such a seemingly banal incident could influence the rest of Witek's life.,8.715,/gx84VmJllqvXF3JEqcEdsxBEcbF.jpg,['PL'],1987-01-10,0,123,['pl'],Released,,Blind Chance,False,7.538,158,['Film Polski'],['PL']
False,/mpNd0rTVrp6vHJ9Je7wSa3zC8JS.jpg,26500000,"['Adventure', 'Fantasy', 'Animation']",,128,tt0119698,ja,もののけ姫,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",36.304,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,['JP'],1997-07-12,159414369,134,['ja'],Released,The Fate Of The World Rests On The Courage Of One Warrior.,Princess Mononoke,False,8.341,6940,"['Studio Ghibli', 'Nibariki', 'dentsu Music And Entertainment', 'TNDG', 'Tokuma Shoten', 'Nippon Television Network Corporation', 'dentsu']","['JP', 'JP', 'JP', '', 'JP', 'JP', 'JP']"
False,/Ab8mkHmkYADjU7wQiOkia9BzGvS.jpg,19000000,"['Animation', 'Family', 'Fantasy']",http://movies.disney.com/spirited-away,129,tt0245429,ja,千と千尋の神隠し,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",74.783,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,['JP'],2001-07-20,274925095,125,['ja'],Released,,Spirited Away,False,8.54,14250,['Studio Ghibli'],['JP']
False,/1UZn5MA63PjaVCf470o0fz5nrbv.jpg,0,"['Documentary', 'Music']",http://mayslesfilms.com/film/gimme-shelter,132,tt0065780,en,Gimme Shelter,"A detailed chronicle of the famous 1969 tour of the United States by the British rock band The Rolling Stones, which culminated with the disastrous and tragic concert held on December 6 at the Altamont Speedway Free Festival, an event of historical significance, as it marked the end of an era: the generation of peace and love suddenly became the generation of disillusionment.",8.519,/hbGiaHULqEKmEEGb61ko7erTeYG.jpg,['US'],1970-12-13,252570,92,['en'],Released,The music that thrilled the world… and the killing that stunned it!,Gimme Shelter,False,7.392,144,['Maysles Films'],['US']
False,/e6IPjjDzZDkgdkvxQtCjaVCMYJF.jpg,0,['Documentary'],,133,tt0054205,en,Primary,Primary is a documentary film about the primary elections between John F. Kennedy and Hubert Humphrey in 1960. Primary is the first documentary to use light equipment in order to follow their subjects in a more intimate filmmaking style. This unconventional way of filming created a new look for documentary films where the camera’s lens was right in the middle of what ever drama was occuring.,1.84,/gVloWsthHRlw719vzRWRpBqDM20.jpg,['US'],1960-01-01,0,60,['en'],Released,,Primary,False,6.462,26,['Drew Associates'],['US']
False,/3U98a4AWjRRptUSbNdxtM9cp3dd.jpg,26000000,"['Adventure', 'Comedy', 'Crime']",,134,tt0190590,en,"O Brother, Where Art Thou?","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them. On their journey they come across many comical characters and incredible situations. Based upon Homer's 'Odyssey'.",16.651,/2YztYilviFCYcEtDAnrOstUWGie.jpg,"['FR', 'GB', 'US']",2000-08-30,71870729,107,['en'],Released,They have a plan... but not a clue.,"O Brother, Where Art Thou?",False,7.328,3636,"['Universal Pictures', 'Touchstone Pictures', 'Working Title Films', 'Blind Bard Pictures', 'StudioCanal']","['US', 'US', 'GB', '', 'FR']"
